,vehicle_id,vehicle_load,id,alias,node_type,x,y,distance_previous,waiting,earliest,arrival,latest,service_duration,departure
0,0,0,0,Depot,O_DEPOT,0.0,0.0,0.0,0.0,0,0.0,480,0,0.0
1,0,1,4,4,PU,-7.37,-1.11,7.46,112.54,0,120.0,1440,3,123.0
2,0,0,12,4*,DO,6.88,0.88,14.4,0.6,138,138.0,153,3,141.0
3,0,1,2,2,PU,5.57,7.11,6.37,168.56,0,315.92,1440,3,318.92
4,0,0,10,2*,DO,-2.19,-9.21,18.08,0.0,322,337.0,337,3,340.0
5,0,1,1,1,PU,-1.2,-5.16,4.17,39.83,0,384.0,1440,3,387.0
6,0,0,9,1*,DO,6.69,6.73,14.27,0.73,402,402.0,417,3,405.0
7,0,0,17,Depot,D_DEPOT,0.0,0.0,9.49,0.0,0,480.0,480,0,480.0
8,1,0,0,Depot,O_DEPOT,0.0,0.0,0.0,0.0,0,0.0,480,0,0.0
9,1,0,17,Depot,D_DEPOT,0.0,0.0,0.0,0.0,0,480.0,480,0,480.0
10,2,0,0,Depot,O_DEPOT,0.0,0.0,0.0,0.0,0,0.0,480,0,0.0
11,2,1,6,6,PU,6.5,-6.04,8.87,7.13,0,16.0,1440,3,19.0
12,2,0,14,6*,DO,-9.86,1.4,17.97,12.03,49,49.0,64,3,52.0
13,2,1,5,5,PU,-9.25,8.32,6.95,2.23,0,61.18,1440,3,64.18
14,2,0,13,5*,DO,5.59,-1.55,17.82,12.18,82,94.18,97,3,97.18
15,2,1,8,8,PU,3.9,-5.26,4.07,163.75,0,265.0,1440,3,268.0
16,2,0,16,8*,DO,1.27,1.02,6.81,23.19,298,298.0,313,3,301.0
17,2,0,17,Depot,D_DEPOT,0.0,0.0,1.63,0.0,0,480.0,480,0,480.0
18,3,0,0,Depot,O_DEPOT,0.0,0.0,0.0,0.0,0,0.0,480,0,0.0
19,3,1,3,3,PU,-6.61,0.07,6.61,159.39,0,166.0,1440,3,169.0
20,3,0,11,3*,DO,-1.06,8.75,10.3,14.7,179,194.0,194,3,197.0
21,3,1,7,7,PU,0.86,6.9,2.67,182.33,0,382.0,1440,3,385.0
22,3,0,15,7*,DO,-9.8,5.7,10.73,4.27,400,400.0,415,3,403.0
23,3,0,17,Depot,D_DEPOT,0.0,0.0,11.34,0.0,0,480.0,480,0,480.0
