,vehicle_id,vehicle_load,id,alias,node_type,x,y,distance_previous,waiting,earliest,arrival,latest,service_duration,departure
0,0,0,2,2,O_DEPOT,27.0,62.0,0.0,0.0,0,0.0,480,0,0.0
1,0,20,8,8,PU,10.0,35.0,31.91,21.71,60,60.0,300,0,60.0
2,0,0,13,8*,DO,5.0,35.0,5.0,54.0,120,120.0,360,0,120.0
3,0,20,6,6,PU,15.0,75.0,41.23,53.64,120,223.11,360,0,223.11
4,0,30,7,7,PU,15.0,80.0,5.0,-0.0,60,229.11,300,0,229.11
5,0,50,5,5,PU,20.0,85.0,7.07,-0.0,180,237.6,420,0,237.6
6,0,30,10,5*,DO,22.0,85.0,2.0,-0.0,240,240.0,480,0,240.0
7,0,50,4,4,PU,25.0,85.0,3.0,0.0,180,243.6,420,0,243.6
8,0,30,11,6*,DO,20.0,80.0,7.07,-0.0,180,252.09,420,0,252.09
9,0,20,12,7*,DO,18.0,75.0,5.39,0.0,120,258.55,360,0,258.55
10,0,0,9,4*,DO,22.0,75.0,4.0,0.0,240,263.35,480,0,263.35
11,0,0,15,15,D_DEPOT,27.0,62.0,13.93,0.0,0,280.06,480,0,280.06
