,vehicle_id,vehicle_load,id,alias,node_type,x,y,distance_previous,waiting,earliest,arrival,latest,service_duration,departure
0,0,0,2,2,O_DEPOT,27.0,62.0,0.0,0.0,0,0.0,480,0,0.0
1,0,20,8,8,PU,10.0,35.0,31.91,75.71,60,114.0,300,0,114.0
2,0,0,13,8*,DO,5.0,35.0,5.0,0.0,120,120.0,360,0,120.0
3,0,10,7,7,PU,15.0,80.0,46.1,0.0,60,175.32,300,0,175.32
4,0,30,6,6,PU,15.0,75.0,5.0,0.0,120,181.32,360,0,181.32
5,0,50,5,5,PU,20.0,85.0,11.18,0.0,180,194.73,420,0,194.73
6,0,40,12,7*,DO,18.0,75.0,10.2,-0.0,120,206.97,360,0,206.97
7,0,20,11,6*,DO,20.0,80.0,5.39,0.0,180,213.43,420,0,213.43
8,0,40,4,4,PU,25.0,85.0,7.07,-0.0,180,221.92,420,0,221.92
9,0,20,10,5*,DO,22.0,85.0,3.0,14.48,240,240.0,480,0,240.0
10,0,0,9,4*,DO,22.0,75.0,10.0,0.0,240,252.0,480,0,252.0
11,0,0,15,15,D_DEPOT,27.0,62.0,13.93,0.0,0,268.71,480,0,268.71
